IGHV,L-Intron-L,FW1,CDR1,FW2,CDR2,FW3
IGHV1-18*01,2,1,0,1,0,0
IGHV1-18*02,2,1,0,1,0,0
IGHV1-18*04,2,1,0,1,0,0
IGHV1-2*01,0,2,0,0,0,0
IGHV1-2*02,0,2,0,0,0,0
IGHV1-2*03,0,2,0,0,0,0
IGHV1-2*04,0,2,0,0,0,0
IGHV1-2*06,0,2,0,0,0,0
IGHV1-2*07,0,2,0,0,0,0
IGHV1-24*01,1,1,0,0,0,0
IGHV1-3*01,1,0,0,0,0,0
IGHV1-3*02,1,1,0,0,0,0
IGHV1-3*03,1,1,0,0,0,0
IGHV1-3*05,1,0,0,0,0,0
IGHV1-45*01,1,2,0,0,0,0
IGHV1-45*02,1,2,0,0,0,0
IGHV1-45*03,1,2,0,0,0,0
IGHV1-46*01,2,2,0,0,0,0
IGHV1-46*02,2,2,0,0,0,0
IGHV1-46*03,2,2,0,0,0,0
IGHV1-46*04,2,2,0,0,0,0
IGHV1-58*01,1,2,0,0,0,0
IGHV1-58*02,1,2,0,0,0,0
IGHV1-69*01,1,2,0,1,0,0
IGHV1-69*02,1,1,0,1,0,0
IGHV1-69*03,0,2,0,1,0,0
IGHV1-69*04,1,1,0,1,0,0
IGHV1-69*05,1,1,0,1,0,0
IGHV1-69*06,1,2,0,1,0,0
IGHV1-69*12,1,1,0,1,0,0
IGHV1-69*14,1,1,0,1,0,0
IGHV1-69*15,1,1,0,1,0,0
IGHV1-69*16,1,1,0,1,0,0
IGHV1-69*17,1,2,0,1,0,0
IGHV1-69*19,1,2,0,1,0,0
IGHV1-69-2*01,1,1,0,0,0,0
IGHV1-69D*01,1,2,0,1,0,0
IGHV1-8*01,1,2,0,1,0,0
IGHV1-8*03,1,2,0,1,0,0
IGHV2-26*01,1,0,0,0,0,1
IGHV2-26*02,1,0,0,0,0,1
IGHV2-26*03,1,0,0,0,0,1
IGHV2-26*04,1,0,0,0,0,1
IGHV2-26*05,1,0,0,0,0,1
IGHV2-5*01,1,0,0,0,0,1
IGHV2-5*02,1,0,0,0,0,1
IGHV2-5*04,1,0,0,0,0,1
IGHV2-5*05,1,0,0,0,0,1
IGHV2-5*06,1,0,0,0,0,1
IGHV2-5*08,0,0,0,0,0,1
IGHV2-5*09,0,0,0,0,0,1
IGHV2-70*01,0,0,0,0,0,1
IGHV2-70*02,0,0,0,0,0,1
IGHV2-70*03,0,0,0,0,0,1
IGHV2-70*04,0,0,0,0,0,1
IGHV2-70*05,0,0,0,0,0,1
IGHV2-70*06,0,0,0,0,0,1
IGHV2-70*07,0,0,0,0,0,1
IGHV2-70*08,0,0,0,0,0,1
IGHV2-70*09,1,0,0,0,0,1
IGHV2-70*10,1,0,0,0,0,1
IGHV2-70*11,0,0,0,0,0,1
IGHV2-70*12,0,0,0,0,0,1
IGHV2-70*13,0,0,0,0,0,1
IGHV2-70*15,0,0,0,0,0,1
IGHV2-70*16,0,0,0,0,0,1
IGHV2-70*17,0,0,0,0,0,1
IGHV2-70*18,0,0,0,0,0,1
IGHV2-70*19,0,0,0,0,0,1
IGHV2-70*20,0,0,0,0,0,1
IGHV2-70D*04,0,0,0,0,0,1
IGHV2-70D*14,0,0,0,0,0,1
